> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x0b
> 	0x62 (b)
< 0xff
> 	0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x05
< 0x01
< 0x40 (@)
< 0x00
< 0x00
< 0x00
< 0x28 (()
< 0x55 (U)
< 0x00
< 0x00
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x00
> 	0x41 (A)
> 	0x04
> 	0x00
> 	0x00
> 	0x4b (K)
> 	0xec
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x0b
> 	0x62 (b)
> 	0xff
< 0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x05
< 0x01
< 0x40 (@)
< 0x00
< 0x00
< 0x00
< 0x28 (()
< 0x55 (U)
< 0x00
< 0x00
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x00
> 	0x41 (A)
> 	0x05
> 	0x00
> 	0x00
> 	0x1a
> 	0x2c (,)
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x0b
> 	0x62 (b)
> 	0xff
< 0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x05
< 0x01
< 0x40 (@)
< 0x00
< 0x00
< 0x00
< 0x28 (()
< 0x55 (U)
< 0x00
< 0x00
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x00
> 	0x41 (A)
> 	0x06
> 	0x00
> 	0x00
> 	0xea
> 	0x2c (,)
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x0b
> 	0x62 (b)
> 	0xff
< 0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x05
< 0x01
< 0x40 (@)
< 0x00
< 0x00
< 0x00
< 0x28 (()
< 0x55 (U)
< 0x00
< 0x00
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x00
> 	0x41 (A)
> 	0x07
> 	0x00
> 	0x00
> 	0xbb
> 	0xec
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x0b
> 	0x62 (b)
> 	0xff
< 0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x05
< 0x01
< 0x40 (@)
< 0x00
< 0x00
< 0x00
< 0x28 (()
< 0x55 (U)
< 0x00
< 0x00
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x00
> 	0xc1
> 	0x08
> 	0x00
> 	0x00
> 	0xa2
> 	0x2f (/)
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x00
> 	0xdf
> 	0x0b
> 	0x62 (b)
> 	0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x81
< 0x04
< 0xc0
< 0x00
< 0x00
< 0x00
< 0xd3
< 0xd1
< 0x49 (I)
< 0x44 (D)
< 0x52 (R)
< 0x45 (E)
< 0xaa
< 0xda
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x03
> 	0x40 (@)
> 	0x00
> 	0x00
> 	0x00
> 	0x4f (O)
> 	0xd1
> 	0x41 (A)
> 	0x43 (C)
> 	0x43 (C)
> 	0x20
> 	0xd5
< 0xff
> 	0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x05
< 0x01
< 0x40 (@)
< 0x00
< 0x00
< 0x00
< 0x28 (()
< 0x55 (U)
< 0x00
< 0x00
< 0xff
< 0xff
> 	0xff
> 	0xff
< 0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x07
> 	0xc0
> 	0x01
> 	0x00
> 	0x00
> 	0xc6
> 	0x11
> 	0x48 (H)
> 	0x50 (P)
> 	0x34 (4)
> 	0x39 (9)
> 	0x35 (5)
> 	0x32 (2)
> 	0x00
> 	0x7c (|)
> 	0x62 (b)
> 	0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x81
< 0x04
< 0xc0
< 0x00
< 0x00
< 0x00
< 0xd3
< 0xd1
< 0x54 (T)
< 0x52 (R)
< 0x52 (R)
< 0x53 (S)
< 0xcc
< 0xbc
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x03
> 	0x40 (@)
> 	0x00
> 	0x00
> 	0x00
> 	0x4f (O)
> 	0xd1
> 	0x41 (A)
> 	0x43 (C)
> 	0x43 (C)
> 	0x20
> 	0xd5
< 0xff
> 	0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x05
< 0x01
< 0x40 (@)
< 0x00
< 0x00
< 0x00
< 0x28 (()
< 0x55 (U)
< 0x00
< 0x00
< 0xff
< 0xff
> 	0xff
< 0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x06
> 	0xc0
> 	0x01
> 	0x00
> 	0x00
> 	0xfb
> 	0xd1
> 	0x00
> 	0x00
> 	0x00
> 	0x00
> 	0x00
> 	0x32 (2)
> 	0x81
> 	0xd5
> 	0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x81
< 0x04
< 0xc0
< 0x00
< 0x00
< 0x00
< 0xd3
< 0xd1
< 0x54 (T)
< 0x52 (R)
< 0x41 (A)
< 0x4c (L)
< 0x80
< 0x44 (D)
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x03
> 	0x40 (@)
> 	0x00
> 	0x00
> 	0x00
> 	0x4f (O)
> 	0xd1
> 	0x41 (A)
> 	0x43 (C)
> 	0x43 (C)
> 	0x20
> 	0xd5
> 	0xff
< 0xff
< 0xff
< 0x96
< 0x96
< 0x96
< 0x96
< 0x05
< 0x01
< 0x40 (@)
< 0x00
< 0x00
< 0x00
< 0x28 (()
< 0x55 (U)
< 0x00
< 0x00
< 0xff
< 0xff
< 0xff
> 	0xff
> 	0xff
> 	0x96
> 	0x96
> 	0x96
> 	0x96
> 	0x81
> 	0x00
> 	0x41 (A)
> 	0x01
> 	0x00
> 	0x00
> 	0x5b ([)
> 	0xed
> 	0x00
> 	0x07
